E1247,3,846.0000 ,46.29690 ,-106.6977,APRSWXNET ,           ,EW1247 Forsyth                    MT US           ,
E1346,3,756.0000 ,47.41700 ,-105.5887,APRSWXNET ,           ,EW1346 Circle                     MT US           ,
E1347,3,632.0000 ,48.13583 ,-106.3542,APRSWXNET ,           ,EW1347 Nashua                     MT US           ,
E1484,3,2078.700 ,48.50217 ,-114.3388,APRSWXNET ,           ,EW1484 Whitefish                  MT US           ,
E1605,3,1491.400 ,45.66317 ,-111.0383,APRSWXNET ,           ,EW1605 Bozeman                    MT US           ,
E1880,3,956.0000 ,48.55000 ,-110.5500,APRSWXNET ,           ,EW1880 Rudyard                    MT US           ,
E1931,3,937.0000 ,48.39317 ,-110.5403,APRSWXNET ,           ,EW1931 Rudyard                    MT US           ,
E1937,3,913.0000 ,48.85000 ,-110.6000,APRSWXNET ,           ,EW1937 Goldstone                  MT US           ,
E2119,3,995.0000 ,48.17250 ,-114.0388,APRSWXNET ,           ,EW2119 Kalispell                  MT US           ,
E2143,3,955.0000 ,45.77946 ,-108.5217,APRSWXNET ,           ,EW2143 Billings                   MT US           ,
E2349,3,687.3000 ,48.51883 ,-105.3848,APRSWXNET ,           ,EW2349 Scobey                     MT US           ,
E2411,3,1264.900 ,48.07133 ,-114.4082,APRSWXNET ,           ,EW2411 Kila                       MT US           ,
E2671,3,658.4000 ,48.10633 ,-106.4478,APRSWXNET ,           ,EW2671 Nashua                     MT US           ,
E2688,3,642.0000 ,47.98967 ,-106.5025,APRSWXNET ,           ,EW2688 Fort Peck                  MT US           ,
E2692,3,621.0000 ,48.33433 ,-104.4890,APRSWXNET ,           ,EW2692 Froid                      MT US           ,
E2810,3,1.100000 ,45.30917 ,-108.8933,APRSWXNET ,           ,EW2810 Bridger                    MT US           ,
E3448,3,77.00000 ,36.04367 ,14.24883 ,APRSWXNET ,           ,EW3448 Victoria                      MT           ,
E3831,3,1104.000 ,47.01383 ,-112.0130,APRSWXNET ,           ,EW3831 Wolf Creek                 MT US           ,
E3848,3,1180.200 ,46.62183 ,-112.0420,APRSWXNET ,           ,EW3848 Helena                     MT US           ,
E4238,3,1028.000 ,48.69550 ,-111.4233,APRSWXNET ,           ,EW4238 Galata                     MT US           ,
E4329,3,1540.800 ,46.56567 ,-112.4415,APRSWXNET ,           ,EW4329 Elliston                   MT US           ,
E4343,3,1663.900 ,45.22133 ,-109.2917,APRSWXNET ,           ,EW4343 Red Lodge                  MT US           ,
E4511,3,854.4000 ,48.59650 ,-109.7120,APRSWXNET ,           ,EW4511 Havre                      MT US           ,
E4666,3,1609.300 ,45.54950 ,-111.1950,APRSWXNET ,           ,EW4666 Gallatin Gateway           MT US           ,
E5357,3,1165.000 ,46.41400 ,-111.5820,APRSWXNET ,           ,EW5357 Townsend                   MT US           ,
E5549,3,1137.000 ,46.64341 ,-111.9195,APRSWXNET ,           ,EW5549 Helena                     MT US           ,
E5606,3,902.0000 ,48.67156 ,-106.4808,APRSWXNET ,           ,EW5606 Honrud                     MT US           ,
E5772,3,1161.600 ,48.49050 ,-112.3658,APRSWXNET ,           ,EW5772 Cut Bank                   MT US           ,
E5991,3,960.1000 ,47.83510 ,-114.0297,APRSWXNET ,           ,EW5991 12 Miles Ne Polson         MT US           ,
E6075,3,1001.000 ,48.85800 ,-106.4112,APRSWXNET ,           ,EW6075 Opheim                     MT US           ,
E6149,3,2460.000 ,47.41533 ,-105.5922,APRSWXNET ,           ,EW6149 Circle                     MT US           ,
E6167,3,1737.400 ,45.06000 ,-111.6500,APRSWXNET ,           ,EW6167 Cameron                    MT US           ,
E6366,3,1667.300 ,45.57333 ,-111.1005,APRSWXNET ,           ,EW6366 Bozeman                    MT US           ,
E6456,3,894.0000 ,46.59927 ,-107.8669,APRSWXNET ,           ,EW6456 Melstone                   MT US           ,
E6663,3,895.0000 ,47.72817 ,-114.1878,APRSWXNET ,           ,EW6663 Polson                     MT US           ,
E6963,3,609.6000 ,47.72133 ,-104.1957,APRSWXNET ,           ,EW6963 Sidney                     MT US           ,
E7370,3,1242.500 ,46.01717 ,-111.3870,APRSWXNET ,           ,KT9X Three Forks                  MT US           ,
E7595,3,1120.100 ,47.53582 ,-111.2846,APRSWXNET ,           ,EW7595 Black Eagle                MT US           ,
E8039,3,1402.000 ,45.65838 ,-110.5780,APRSWXNET ,           ,EW8039 Livingston                 MT US           ,
E8158,3,1033.000 ,47.27183 ,-111.7057,APRSWXNET ,           ,EW8158 Cascade                    MT US           ,
E8201,3,991.0000 ,48.46500 ,-111.1758,APRSWXNET ,           ,EW8201 Lothair 3e                 MT US           ,
E8322,3,926.0000 ,48.29483 ,-111.2158,APRSWXNET ,           ,EW8322 Tiber Dam 5w               MT US           ,
E8564,3,1013.000 ,46.83721 ,-113.8279,APRSWXNET ,           ,EW8564 East Bonner                MT US           ,
E9056,3,1020.000 ,48.59483 ,-110.7917,APRSWXNET ,           ,EW9056 Joplin                     MT US           ,
E9066,3,1040.000 ,47.51667 ,-111.6767,APRSWXNET ,           ,EW9066 Sun River                  MT US           ,
E9130,3,971.0000 ,45.83250 ,-108.4438,APRSWXNET ,           ,EW9130 Billings                   MT US           ,
E9427,3,978.0000 ,48.58243 ,-111.0082,APRSWXNET ,           ,EW9427 Chester-5nw                MT US           ,
E9495,3,1205.200 ,48.78233 ,-111.1492,APRSWXNET ,           ,EW9495 Hill                       MT US           ,
E9635,3,3734.000 ,46.65717 ,-112.0285,APRSWXNET ,           ,EW9635 Helena                     MT US           ,
E9980,3,2001.300 ,44.78167 ,-111.1383,APRSWXNET ,           ,EW9980 West Yellowstone           MT US           ,
27IB1,3,1353.000 ,48.55380 ,-113.0147,GLOBE     ,           ,Browning MT US                                    ,
46FA1,3,1686.000 ,46.89050 ,-113.9683,GLOBE     ,           ,Potomac MT US                                     ,
8L5H1,3,1061.000 ,45.88330 ,-104.5500,GLOBE     ,           ,Ekalaka MT US                                     ,
C55K1,3,1022.449 ,47.43570 ,-111.5075,GLOBE     ,           ,Ulm MT US                                         ,
GCZ31,3,1147.700 ,48.25720 ,-109.7745,GLOBE     ,           ,Box Elder MT US                                   ,
GCZ32,3,1084.600 ,48.29030 ,-109.8695,GLOBE     ,           ,Box Elder MT US                                   ,
P9ZV1,3,962.0000 ,46.89300 ,-114.0568,GLOBE     ,           ,Missoula MT US                                    ,
P9ZV2,3,946.0000 ,46.89520 ,-114.0558,GLOBE     ,           ,Missoula MT US                                    ,
ILSA1,3,956.0000 ,46.85600 ,-114.0148,GLOBE     ,           ,Missoula MT US                                    ,
MSOL ,3,975.0000 ,46.92940 ,-114.1089,GPSMET    ,           ,Missoula, MT                                      ,
